flightnumber,radiocallsign,origin,destination,deptime,arrtime,gate,aircraft,route,created_at,updated_at
LX735,SWR70T,EHAM,LSZH,2019-09-29 20:00:00,2019-09-29 21:30:00,B17,CS3,LOPIK UN852 GTQ UT27 BLM,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1376,KLM62R,LROP,EHAM,2019-09-29 18:05:00,2019-09-29 20:05:00,D10,73W,SOKRU M747 ENIMA T746 NEPOT L851 DEGET DCT BEGLA DCT DITIS M174 OKG DCT ROBEL UL602 RKN,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1922,KLM1922,EPGD,EHAM,2019-09-29 18:05:00,2019-09-29 20:00:00,A4,E90,DEXIR T671 VEKON L730 VAVUN M602 BINKA L23 RAMAR UL23 HAM UM170 LBV UN125 EEL,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1358,KLM46A,LKPR,EHAM,2019-09-29 18:30:00,2019-09-29 20:05:00,A4,73H,BALTU L984 DONAD L602 VARIK DCT ROBEL UL602 RKN,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1418,KLM1418,LFLL,EHAM,2019-09-29 18:20:00,2019-09-29 20:05:00,A4,73H,BUSIL UT133 AMORO UT140 PIBAT UM976 KOPOR UN874 VEKIN UN873 HELEN,2019-09-04 13:31:36,2019-09-04 13:31:36
EI844,EIN844,EICK,EHAM,2019-09-29 17:25:00,2019-09-29 20:10:00,D31,320,TISMO DCT GISTI DCT LIFFY UL975 WAL M16 DOLAS L603 LAMSO,2019-09-04 13:31:36,2019-09-04 13:31:36
EW7185,EWG8TE,EHAM,EDDH,2019-09-29 20:15:00,2019-09-29 21:20:00,B27,319,ANDIK UN873 GRONY UM105 EEL UN125 WSN UL23 HAM,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1369,KLM85R,EHAM,EPWA,2019-09-29 20:20:00,2019-09-29 22:10:00,C9,73W,ARNEM UP147 RKN UL980 DLE L986 EMBOX DCT MAG Z20 IDOBA Y210 ARSAP Y209 KELOD L980 ADVAB P150 BIMPA,2019-09-04 13:31:36,2019-09-04 13:31:36
SK554,SAS554,EHAM,EKCH,2019-09-29 21:45:00,2019-09-29 23:05:00,C10,320,ANDIK UN873 JUIST UP729 DOSUR P729 TUDLO,2019-09-04 13:31:36,2019-09-04 13:31:36
EJU2729,EJU2729,LIMC,EHAM,2019-09-29 18:30:00,2019-09-29 20:20:00,,319,AOSTA UM729 MOLUS UN853 IXILU UL47 EPL UM624 ROUSY UQ624 BUB UY28 HELEN,2019-09-04 13:31:36,2019-09-04 13:31:36
BA2764,BAW2764,EGKK,EHAM,2019-09-29 18:10:00,2019-09-29 20:25:00,D26,320,CLN L620 REDFA,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1832,KLM1832,EDDT,EHAM,2019-09-29 18:50:00,2019-09-29 20:10:00,C6,E90,BRANE Y200 HLZ UL980 RKN,2019-09-04 13:31:36,2019-09-04 13:31:36
BE1017,BEE8LK,EGHI,EHAM,2019-09-29 18:00:00,2019-09-29 20:20:00,D28,DH4,BCN UN864 DIKAS UL18 GAVGO UL9 CPT M197 REDFA,2019-09-04 13:31:36,2019-09-04 13:31:36
LY339,ELY339,LLBG,EHAM,2019-09-29 16:15:00,2019-09-29 20:20:00,G8,739,MERVA UB17 LCA UA28 MUT UL619 KFK UL620 IST UA16 FENER UT264 TUDBU Q26 ETUBA T226 MOPUG DCT BEGLA DCT DITIS M174 OKG DCT ROBEL UL602 RKN,2019-09-04 13:31:36,2019-09-04 13:31:36
EZY3009,EZY16NY,EGSS,EHAM,2019-09-29 19:55:00,2019-09-29 22:00:00,H5,319,CLN L620 REDFA,2019-09-04 13:31:36,2019-09-04 13:31:36
3O125,MAC125,GMFF,EHAM,2019-09-29 16:15:00,2019-09-29 20:35:00,G8,320,DCT BOKPA UG850 BERUM UL58 VIBAS UN865 VTB UN867 DGO UN858 VANAD UN874 BAMES UT191 PODEM UN873 BELDI UY473 LUMIL UY873 DENUT,2019-09-04 13:31:36,2019-09-04 13:31:36
EZY8882,EZY36EJ,EHAM,EGKK,2019-09-29 20:10:00,2019-09-29 20:30:00,H1,319,IDRID UL980 XAMAN L980 LOGAN L608 SUMUM Q63 ARREK Y4 TEBRA,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1559,KLM97K,EHAM,LIMF,2019-09-29 20:30:00,2019-09-29 22:10:00,B3,E75,LOPIK UN852 GTQ UZ343 BEGAR UL15 RIPUS UN850 DEGAD Z424 AKASU,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1991,KLM89F,EHAM,LFSB,2019-09-29 20:30:00,2019-09-29 21:45:00,B18,E90,LOPIK UN852 POGOL UZ24 LASAT UN852 MIRGU UZ24 SHARA UN852 TIRSO UZ24 ARPUS,2019-09-04 13:31:36,2019-09-04 13:31:36
AF1441,AFR88NW,EHAM,LFPG,2019-09-29 20:30:00,2019-09-29 22:00:00,C5,318,WOODY UN872 NIK UY131 MOPIL,2019-09-04 13:31:36,2019-09-04 13:31:36
